city,run,method,n_particles,n_ref_epochs,n_pf_epochs,coverage_pct,honest_ppc_pct,honest_pass_m,honest_total_m,ms_per_epoch,rbpf_velocity_kf,position_update,dd_carrier_afv,dd_epochs_attempted,dd_epochs_applied,dd_pairs_total,rbpf_kf_gate_active,rbpf_kf_gate_min_dd_pairs,rbpf_kf_gate_min_ess_ratio,rbpf_kf_gate_max_spread_m,rbpf_kf_attempted,rbpf_kf_applied,rbpf_kf_skip_min_dd_pairs,rbpf_kf_skip_min_ess_ratio,rbpf_kf_skip_max_spread,hybrid_pu,hybrid_sigma_m,hybrid_attempted,hybrid_applied,hybrid_lookup_missing,fgo_lambda,fgo_windows_attempted,fgo_windows_solved,fgo_windows_applied,fgo_n_fixed_total,fgo_epochs_replaced
tokyo,run1,RBPF-velKF+DD+gate+hybrid,20000,11951,11861,99.24692494351937,39.462949906407616,4071.7650332535795,10317.943901584624,1.3377478473980209,1,0,1,11861,9405,47704,1,4,0.02,-1.0,11861,7385,4476,0,0,1,1.0,11861,11305,556,0,0,0,0,0,0
tokyo,run1,RBPF-velKF+DD+gate+hybrid+phase4,20000,11951,11861,99.24692494351937,39.462949906407616,4071.7650332535795,10317.943901584624,1.6587644042575196,1,0,1,11861,9405,47704,1,4,0.02,-1.0,11861,7385,4476,0,0,1,1.0,11861,11305,556,1,443,443,39,2538,328
tokyo,run2,RBPF-velKF+DD+gate+hybrid,20000,9151,9106,99.50825046443012,71.52269810031815,5117.207799890938,7154.662695629173,1.726721554676301,1,0,1,9106,7748,47247,1,4,0.02,-1.0,9106,6492,2614,0,0,1,1.0,9106,8842,264,0,0,0,0,0,0
tokyo,run2,RBPF-velKF+DD+gate+hybrid+phase4,20000,9151,9106,99.50825046443012,71.50078772021544,5115.640186099259,7154.662695629173,2.0829264660399223,1,0,1,9106,7748,47247,1,4,0.02,-1.0,9106,6492,2614,0,0,1,1.0,9106,8842,264,1,341,341,9,2354,87
tokyo,run3,RBPF-velKF+DD+gate+hybrid,20000,15301,15292,99.94118031501209,59.709390445420524,9746.850991817115,16323.81593432371,1.7082195415916985,1,0,1,15292,13449,90202,1,4,0.02,-1.0,15292,12245,3047,0,0,1,1.0,15292,14853,439,0,0,0,0,0,0
tokyo,run3,RBPF-velKF+DD+gate+hybrid+phase4,20000,15301,15292,99.94118031501209,59.709390445420524,9746.850991817115,16323.81593432371,2.108305147655353,1,0,1,15292,13449,90202,1,4,0.02,-1.0,15292,12245,3047,0,0,1,1.0,15292,14853,439,1,594,594,30,4497,325
nagoya,run1,RBPF-velKF+DD+gate+hybrid,20000,7651,7541,98.562279440596,53.91901668122852,2405.3850916373776,4461.107118956035,1.501511447163744,1,0,1,7541,6359,38054,1,4,0.02,-1.0,7541,5942,1599,0,0,1,1.0,7541,7266,275,0,0,0,0,0,0
nagoya,run1,RBPF-velKF+DD+gate+hybrid+phase4,20000,7651,7541,98.562279440596,53.91901668122852,2405.3850916373776,4461.107118956035,1.8433399705697697,1,0,1,7541,6359,38054,1,4,0.02,-1.0,7541,5942,1599,0,0,1,1.0,7541,7266,275,1,268,268,1,1811,16
nagoya,run2,RBPF-velKF+DD+gate+hybrid,20000,9451,9431,99.78838218177971,21.535238128963552,1021.0248295192391,4741.181979994103,1.4476056605997754,1,0,1,9431,7318,39234,1,4,0.02,-1.0,9431,5808,3623,0,0,1,1.0,9431,9171,260,0,0,0,0,0,0
nagoya,run2,RBPF-velKF+DD+gate+hybrid+phase4,20000,9451,9431,99.78838218177971,21.535238128963552,1021.0248295192391,4741.181979994103,1.740517801592426,1,0,1,9431,7318,39234,1,4,0.02,-1.0,9431,5808,3623,0,0,1,1.0,9431,9171,260,1,349,349,5,1957,22
nagoya,run3,RBPF-velKF+DD+gate+hybrid,20000,5201,5201,100.0,34.11734341843869,1135.4129909220906,3327.9642467955387,1.4267379328124319,1,0,1,5201,3940,19790,1,4,0.02,-1.0,5201,3034,2167,0,0,1,1.0,5201,4966,235,0,0,0,0,0,0
nagoya,run3,RBPF-velKF+DD+gate+hybrid+phase4,20000,5201,5201,100.0,34.11734341843869,1135.4129909220906,3327.9642467955387,1.7430440057516727,1,0,1,5201,3940,19790,1,4,0.02,-1.0,5201,3034,2167,0,0,1,1.0,5201,4966,235,1,197,197,20,1100,206
